family_id,family_name,index_type,result_type,notation,example_instance,example_value,n_instances_documented,discoverer,year,event_id,notes
TF-001,Vec,Nat,Type,"Vec : Nat → Type","Vec(3)","lists of exactly 3 elements",infinite,sereth_linn,885,EV-885-003,"The paradigmatic type family. Vec(n) is the type of lists of length n."
TF-002,Fin,Nat,Type,"Fin : Nat → Type","Fin(5)","numbers 0 through 4",infinite,sereth_linn,886,EV-885-003,"Fin(n) is the type of natural numbers less than n. Fin(0) is empty."
TF-003,Matrix,Nat × Nat,Type,"Matrix : Nat → Nat → Type","Matrix(3,4)","3×4 matrices",infinite,sereth_linn,887,EV-885-003,"Matrix(m,n) is the type of m×n matrices. Dimensions are part of the type."
TF-004,Eq,A × A,Type,"Eq : A → A → Type","Eq(3,3)","proofs that 3 equals 3",depends_on_A,sereth_linn,901,EV-901-003,"Identity type. Eq(a,b) is the type of proofs that a equals b."
TF-005,LessThan,Nat × Nat,Type,"LessThan : Nat → Nat → Type","LessThan(2,5)","proofs that 2 < 5",depends_on_args,sereth_linn,902,EV-901-003,"LessThan(m,n) is the type of proofs that m < n."
TF-006,Positive,Nat,Type,"Positive : Nat → Type","Positive(5)","proof that 5 > 0",depends_on_n,sereth_linn,903,EV-903-004,"Positive(n) is the type of proofs that n > 0. Positive(0) is empty."
TF-007,NonEmpty,List A,Type,"NonEmpty : List A → Type","NonEmpty([1,2,3])","proof list is not nil",depends_on_list,sereth_linn,904,EV-903-004,"NonEmpty(xs) is the type of proofs that xs is not the empty list."
TF-008,Sorted,List Nat,Type,"Sorted : List Nat → Type","Sorted([1,2,5])","proof list is sorted",depends_on_list,sereth_linn,905,EV-903-004,"Sorted(xs) is the type of proofs that xs is in ascending order."
TF-009,BinaryTree,Nat,Type,"BinaryTree : Nat → Type","BinaryTree(3)","complete binary trees of depth 3",infinite,sereth_linn,906,EV-903-004,"BinaryTree(n) is the type of complete binary trees of depth n."
TF-010,Permutation,Nat,Type,"Permutation : Nat → Type","Permutation(4)","permutations of 4 elements",factorial_n,sereth_linn,907,EV-903-004,"Permutation(n) has exactly n! inhabitants."
TF-011,Even,Nat,Type,"Even : Nat → Type","Even(4)","proof that 4 is even",half_of_nats,sereth_linn,908,EV-908-003,"Even(n) is the type of proofs that n is even. Even(3) is empty."
TF-012,Divisible,Nat × Nat,Type,"Divisible : Nat → Nat → Type","Divisible(12,3)","proof that 3 divides 12",depends_on_args,sereth_linn,909,EV-908-003,"Divisible(n,d) is the type of proofs that d divides n evenly."
TF-013,Stakdur_Phase,Nat,Type,"Stakdur_Phase : Nat → Type","Stakdur_Phase(3)","stakdur in phase 3",5_phases,pollus_brent,910,EV-912-010,"Type of Archive records of stakdur in a specific phase of the Quintic Cycle."
TF-014,Archive_Entry,Year,Type,"Archive_Entry : Year → Type","Archive_Entry(892)","entries from Year 892",varies_by_year,sereth_linn,911,EV-912-010,"Type of Archive entries from a specific year."
TF-015,Classification,Specimen,Type,"Classification : Specimen → Type","Classification(stakdur_47)","classification of specimen 47",depends_on_specimen,sereth_linn,912,EV-912-010,"Type of valid classifications for a given specimen."
